title;Inflação projetada para 2022
subtit;Ranking com as menores expectativas para inflação, em % ao ano
dfont;Trading Economics
vtype;rvalue
decimal;2
group;name
blk_dx;80
type;rankI
;
;
;
;
;
;
data;begin
x;y
Afghanistan;4.3
Albania;3.5
Algeria;8.5
Angola;10.0
Argentina;69.0
Armenia;5.5
Aruba;1.9
Australia;5.2
Austria;5.0
Azerbaijan;8.7
Bahamas;2.3
Bahrain;1.5
Bangladesh;5.7
Barbados;4.3
Belarus;10.0
Belgium;4.0
Belize;4.0
Benin;2.0
Bermuda;3.0
Bhutan;4.7
Bolivia;3.48
Bosnia and Herzegovina;6.8
Botswana;11.9
Brazil;4.09
Brunei;2.0
Bulgaria;7.0
Burkina Faso;8.5
Burundi;8.0
Cambodia;4.0
Cameroon;5.0
Canada;3.5
Cape Verde;6.8
Cayman Islands;7.6
Central African Republic;4.0
Chad;3.4
Chile;5.69
China;2.0
Colombia;4.9
Comoros;4.5
Congo;5.8
Costa Rica;6.13
Croatia;5.5
Cuba;15.0
Cyprus;5.0
Czech Republic;8.0
Denmark;2.0
Djibouti;7.6
Dominican Republic;4.8
East Timor;4.0
Ecuador;3.15
Egypt;8.5
El Salvador;1.36
Equatorial Guinea;3.7
Eritrea;5.0
Estonia;7.4
Ethiopia;24.0
Euro Area;3.4
European Union;4.1
Faroe Islands;7.4
Fiji;2.0
Finland;3.8
France;4.5
Gabon;3.0
Gambia;6.8
Georgia;8.1
Germany;5.0
Ghana;18.0
Greece;4.0
Guatemala;3.5
Guinea;7.0
Guinea Bissau;4.8
Guyana;4.0
Haiti;15.0
Honduras;5.0
Hong Kong;1.3
Hungary;9.5
Iceland;4.5
India;4.9
Indonesia;3.5
Iran;20.0
Iraq;3.0
Ireland;5.0
Israel;2.0
Italy;4.0
Ivory Coast;4.4
Jamaica;5.8
Japan;2.4
Jordan;2.0
Kazakhstan;11.2
Kenya;6.0
Kosovo;4.5
Kuwait;3.0
Kyrgyzstan;10.0
Laos;8.5
Latvia;7.0
Lebanon;50.0
Lesotho;7.0
Liberia;6.0
Libya;4.0
Liechtenstein;1.0
Lithuania;9.0
Luxembourg;4.5
Macau;1.4
Macedonia;7.8
Madagascar;7.0
Malawi;10.0
Malaysia;2.5
Maldives;4.0
Mali;5.7
Malta;3.2
Mauritania;7.0
Mauritius;7.5
Mexico;4.25
Moldova;18.2
Mongolia;5.0
Montenegro;4.5
Morocco;4.0
Mozambique;8.3
Myanmar;8.0
Namibia;5.6
Nepal;4.5
Netherlands;4.5
New Caledonia;1.2
New Zealand;3.5
Nicaragua;5.3
Niger;3.8
Nigeria;15.0
Norway;3.0
Oman;2.0
Pakistan;13.0
Palestine;2.0
Panama;3.0
Papua New Guinea;3.0
Paraguay;3.5
Peru;3.74
Philippines;3.5
Poland;6.0
Portugal;3.0
Puerto Rico;3.7
Qatar;3.0
Romania;6.5
Russia;5.5
Rwanda;8.5
Sao Tome and Principe;10.0
Saudi Arabia;1.7
Senegal;7.5
Serbia;5.8
Seychelles;1.8
Sierra Leone;17.0
Singapore;5.5
Slovakia;6.2
Slovenia;4.0
Somalia;5.3
South Africa;5.8
South Korea;3.0
South Sudan;5.0
Spain;4.8
Sri Lanka;35.0
Sudan;95.0
Suriname;15.0
Swaziland;3.7
Sweden;4.5
Switzerland;1.0
Syria;13.6
Taiwan;2.0
Tajikistan;4.5
Tanzania;3.4
Thailand;3.5
Togo;5.0
Trinidad and Tobago;2.9
Tunisia;6.0
Turkey;42.0
Turkmenistan;10.0
Uganda;6.0
Ukraine;16.0
United Arab Emirates;2.0
United Kingdom;10.0
United States;4.4
Uruguay;8.34
Uzbekistan;8.0
Vanuatu;2.5
Venezuela;150.0
Vietnam;2.0
Zambia;9.8
Zimbabwe;50.0
