title;Índice Primário de Sentimento
subtit;do Consumidor do Brasil
dfont;Thomson Reuters/Ipsos
vtype;perc
decimal;1
mult;1
divshow;1
group;1
yref;0
ylines;
period;month
quant;13
;
;
;
;
;
;
;
;
x;y
08/2019;49.11
09/2019;47.08
10/2019;50.11
01/2019;49.89
12/2019;48.7
01/2020;51.64
02/2020;50.26
03/2020;50.6
04/2020;46.2
05/2020;36.38
06/2020;36.53
07/2020;39.31
08/2020;40.1
09/2020;42.71
10/2020;44.96
11/2020;44.35
12/2020;43.09
01/2021;43.27
02/2021;41.87
03/2021;41.15
04/2021;37.24
05/2021;39.63
06/2021;42.14
07/2021;44.48
08/2021;44.04
09/2021;42.85
10/2021;41.66
11/2021;41.53
12/2021;44.35
01/2022;45.74
02/2022;45.14


